group,case,size,parameter,metric,value,unit
leafscan,k1,1024,ratio,scalar_over_simd,2.288318,1
leafscan,k8,1024,scalar,min_ms,53.144916,ms
leafscan,k8,1024,batched,min_ms,53.940629,ms
leafscan,k8,1024,simd,min_ms,50.948754,ms
leafscan,k8,1024,ratio,scalar_over_batched,0.985248,1
leafscan,k8,1024,ratio,scalar_over_simd,1.043105,1
leafscan,k1,8192,scalar,min_ms,29.608053,ms
leafscan,k1,8192,batched,min_ms,9.247871,ms
leafscan,k1,8192,simd,min_ms,9.306905,ms
leafscan,k1,8192,ratio,scalar_over_batched,3.201607,1
leafscan,k1,8192,ratio,scalar_over_simd,3.181300,1
leafscan,k8,8192,scalar,min_ms,30.864588,ms
leafscan,k8,8192,batched,min_ms,17.283049,ms
leafscan,k8,8192,simd,min_ms,16.783011,ms
leafscan,k8,8192,ratio,scalar_over_batched,1.785830,1
leafscan,k8,8192,ratio,scalar_over_simd,1.839038,1
leafscan,k1,65536,scalar,min_ms,28.731832,ms
leafscan,k1,65536,batched,min_ms,8.685629,ms
leafscan,k1,65536,simd,min_ms,8.425692,ms
leafscan,k1,65536,ratio,scalar_over_batched,3.307974,1
leafscan,k1,65536,ratio,scalar_over_simd,3.410026,1
leafscan,k8,65536,scalar,min_ms,27.485974,ms
leafscan,k8,65536,batched,min_ms,10.085390,ms
leafscan,k8,65536,simd,min_ms,9.764225,ms
leafscan,k8,65536,ratio,scalar_over_batched,2.725326,1
leafscan,k8,65536,ratio,scalar_over_simd,2.814967,1
voxel,leaf0.020000,1000000,downsample,min_ms,75.402418,ms
voxel,leaf0.050000,1000000,downsample,min_ms,73.254191,ms
voxel,leaf0.100000,1000000,downsample,min_ms,71.877670,ms
voxel,leaf0.250000,1000000,downsample,min_ms,64.356995,ms
icp,sigma0.000000,25674,iterations,count,38,1
icp,sigma0.000000,25674,rmse,value,0.015230,units
icp,sigma0.000000,25674,angle_error,deg,0.005500,deg
icp,sigma0.000000,25674,time,min_ms,176.444269,ms
icp,sigma0.002000,25950,iterations,count,40,1
icp,sigma0.002000,25950,rmse,value,0.015365,units
icp,sigma0.002000,25950,angle_error,deg,0.001610,deg
icp,sigma0.002000,25950,time,min_ms,179.292334,ms
icp,sigma0.005000,26960,iterations,count,41,1
icp,sigma0.005000,26960,rmse,value,0.017720,units
icp,sigma0.005000,26960,angle_error,deg,0.003500,deg
icp,sigma0.005000,26960,time,min_ms,198.973260,ms
icp,sigma0.010000,29031,iterations,count,49,1
icp,sigma0.010000,29031,rmse,value,0.022771,units
icp,sigma0.010000,29031,angle_error,deg,0.003965,deg
icp,sigma0.010000,29031,time,min_ms,257.107246,ms
icp,sigma0.020000,33187,iterations,count,60,1
icp,sigma0.020000,33187,rmse,value,0.030791,units
icp,sigma0.020000,33187,angle_error,deg,0.043039,deg
icp,sigma0.020000,33187,time,min_ms,365.995932,ms
icp,sigma0.040000,39064,iterations,count,60,1
icp,sigma0.040000,39064,rmse,value,0.038900,units
icp,sigma0.040000,39064,angle_error,deg,0.801921,deg
icp,sigma0.040000,39064,time,min_ms,483.128129,ms
image,гаусово изглаждане,786432,pipeline,min_ms,10.106496,ms
image,градиент по Собел,786432,pipeline,min_ms,8.499164,ms
image,потискане на немаксимуми,786432,pipeline,min_ms,8.228969,ms
image,двупрагово решение,786432,pipeline,min_ms,0.559852,ms
image,свързани компоненти,786432,pipeline,min_ms,3.842976,ms
